Function Name,Start Address,Return Addresses
platform_init_heap  ,113a60    ,113af0
heap_usage          ,113af4    ,113b08
strncmp             ,113b28    ,"113b48, 113b5c"
_fputc              ,113b60    ,113b98
_fputs              ,113b9c    ,113bb8
__vprintf           ,113bbc    ,113c44
printf              ,113e28    ,113e6c
__heap_status       ,113e70    ,113f58
__errno             ,113fb8    ,113fbc
mfcc_malloc         ,113fc0    ,113ffc
mfcc_free           ,114000    ,114008
rearrange           ,11400c    ,114020
compute             ,114084    ,114114
fft                 ,1142b0    ,
mfcc_delete         ,1142f8    ,
create_dct_matrix   ,114390    ,1144d8
create_mel_fbank    ,1144dc    ,114644
mfcc_create         ,1147d4    ,114948
mfcc_compute        ,114994    ,114cc4
